crsp_fundno,date,mtna,mret,mnav,ticker,tm
28138,30nov2016,5103.4,.0445143,39.89,"SWTSX",2016m11
28138,30dec2016,5273.9,.0191609,39.74,"SWTSX",2016m12
28138,31jan2017,5441.9,.0196276,40.52,"SWTSX",2017m1
28138,28feb2017,5676,.036772,42.01,"SWTSX",2017m2
28138,31mar2017,5757.1,.0007141,42.04,"SWTSX",2017m3
28138,28apr2017,5848.6,.0104662,42.48,"SWTSX",2017m4
28138,31may2017,5974.1,.0101224,42.91,"SWTSX",2017m5
28138,30jun2017,6058.3,.0090888,43.3,"SWTSX",2017m6
28138,31jul2017,6240.8,.0187067,44.11,"SWTSX",2017m7
28138,31aug2017,6287.3,.0018136,44.19,"SWTSX",2017m8
28138,29sep2017,6494.9,.0244399,45.27,"SWTSX",2017m9
28138,31oct2017,6717.5,.0216479,46.25,"SWTSX",2017m10
28138,30nov2017,7020.3,.0300541,47.64,"SWTSX",2017m11
28138,29dec2017,7335.3,.0098667,47.25,"SWTSX",2017m12
29873,31jan2000,519.7,-.0337902,30.31,"TVAFX",2000m1
29873,29feb2000,581.7,.0425602,31.6,"TVAFX",2000m2
29873,31mar2000,665.4,.0665506,33.6,"TVAFX",2000m3
29873,28apr2000,698.6,.0011905,33.64,"TVAFX",2000m4
29873,31may2000,726.9,-.0118906,33.24,"TVAFX",2000m5
29873,30jun2000,773.8,.0273165,33.69,"TVAFX",2000m6
29873,31jul2000,817,-.0133571,33.24,"TVAFX",2000m7
29873,31aug2000,857.9,.0051143,33.41,"TVAFX",2000m8
29873,29sep2000,867.6,-.0055373,32.98,"TVAFX",2000m9
29873,31oct2000,898.3,0,32.98,"TVAFX",2000m10
29873,30nov2000,883.2,-.056656,30.88,"TVAFX",2000m11
29873,29dec2000,950,.0234456,31.4,"TVAFX",2000m12
29873,31jan2001,1051.4,.0420382,32.72,"TVAFX",2001m1
29873,28feb2001,1038.1,-.0684597,30.48,"TVAFX",2001m2
29873,30mar2001,1023.7,-.0358924,29.31,"TVAFX",2001m3
29873,30apr2001,1150.3,.0771068,31.57,"TVAFX",2001m4
29873,31may2001,1202.2,-.0101362,31.25,"TVAFX",2001m5
29873,29jun2001,1210.3,-.024288,30.44,"TVAFX",2001m6
29873,31jul2001,1210.3,-.0338371,29.41,"TVAFX",2001m7
29873,31aug2001,1150.6,-.0554233,27.78,"TVAFX",2001m8
29873,28sep2001,1076.3,-.062635,26.04,"TVAFX",2001m9
29873,31oct2001,1076.3,-.0107527,25.76,"TVAFX",2001m10
29873,30nov2001,1179.7,.0822981,27.88,"TVAFX",2001m11
29873,31dec2001,1233.2,.0304878,28.73,"TVAFX",2001m12
29873,31jan2002,1219.8,-.0240167,28.04,"TVAFX",2002m1
29873,28feb2002,1180.2,-.0413695,26.88,"TVAFX",2002m2
29873,28mar2002,1252,.0520833,28.28,"TVAFX",2002m3
